id,matter_mg,anti_mg,confinement_pct,efficiency_pct,reactivity_pct,field_gradient_pct,speed_pct,total_energy_j,avg_power_w,stability_index,pair_events,threshold_events,gamma_gamma_share_pct,gamma_meson_share_pct,meson_share_pct
1,300,300,35,60,12,15,30,1.276367e+13,2.191565e+12,7.966351e-01,8.854093e+24,3.311609e+25,6.074299e+01,3.579949e+01,3.457519e+00
2,300,300,35,60,12,35,30,1.243329e+13,2.134836e+12,7.331904e-01,8.576063e+24,3.481759e+25,5.707518e+01,3.944987e+01,3.474955e+00
3,300,300,35,60,12,55,30,1.203768e+13,2.066910e+12,6.599316e-01,8.170173e+24,3.637741e+25,5.312802e+01,4.337295e+01,3.499033e+00
4,300,300,35,60,12,75,30,1.163467e+13,1.997711e+12,5.881694e-01,7.729177e+24,3.774941e+25,4.916283e+01,4.731469e+01,3.522480e+00
5,300,300,35,60,25,15,30,1.647241e+13,2.828368e+12,7.966072e-01,1.143162e+25,4.271584e+25,6.076739e+01,3.577577e+01,3.456835e+00
6,300,300,35,60,25,35,30,1.612315e+13,2.768398e+12,7.328460e-01,1.112808e+25,4.511902e+25,5.710961e+01,3.941638e+01,3.474014e+00
7,300,300,35,60,25,55,30,1.570538e+13,2.696665e+12,6.600873e-01,1.066920e+25,4.741962e+25,5.317453e+01,4.332768e+01,3.497791e+00
8,300,300,35,60,25,75,30,1.527548e+13,2.622851e+12,5.889251e-01,1.016045e+25,4.951021e+25,4.922295e+01,4.725614e+01,3.520912e+00
9,300,300,35,60,45,15,30,2.006170e+13,3.444660e+12,7.973629e-01,1.393790e+25,5.194748e+25,6.083418e+01,3.571085e+01,3.454965e+00
10,300,300,35,60,45,35,30,1.972356e+13,3.386600e+12,7.322181e-01,1.362531e+25,5.513768e+25,5.716033e+01,3.936704e+01,3.472628e+00
11,300,300,35,60,45,55,30,1.933109e+13,3.319212e+12,6.608429e-01,1.315653e+25,5.826137e+25,5.327077e+01,4.323401e+01,3.495222e+00
12,300,300,35,60,45,75,30,1.890875e+13,3.246694e+12,5.886807e-01,1.259391e+25,6.121620e+25,4.928824e+01,4.719255e+01,3.519208e+00
13,300,300,35,60,70,15,30,2.277246e+13,3.910106e+12,7.979185e-01,1.584513e+25,5.884639e+25,6.092731e+01,3.562034e+01,3.452357e+00
14,300,300,35,60,70,35,30,2.247172e+13,3.858468e+12,7.326738e-01,1.555064e+25,6.269613e+25,5.725772e+01,3.927232e+01,3.469966e+00
15,300,300,35,60,70,55,30,2.211393e+13,3.797035e+12,6.600427e-01,1.506379e+25,6.659011e+25,5.331734e+01,4.318868e+01,3.493979e+00
16,300,300,35,60,70,75,30,2.174114e+13,3.733025e+12,5.895640e-01,1.450657e+25,7.027876e+25,4.937524e+01,4.710782e+01,3.516939e+00
17,300,300,35,75,12,15,30,1.595744e+13,2.739946e+12,7.970809e-01,8.856507e+24,3.311804e+25,6.074849e+01,3.579415e+01,3.457365e+00
18,300,300,35,75,12,35,30,1.554139e+13,2.668508e+12,7.331570e-01,8.575479e+24,3.481821e+25,5.707360e+01,3.945141e+01,3.474998e+00
19,300,300,35,75,12,55,30,1.504894e+13,2.583953e+12,6.601983e-01,8.172279e+24,3.637656e+25,5.313577e+01,4.336540e+01,3.498826e+00
20,300,300,35,75,12,75,30,1.454238e+13,2.496975e+12,5.880361e-01,7.728264e+24,3.774916e+25,4.915945e+01,4.731798e+01,3.522568e+00
21,300,300,35,75,25,15,30,2.059853e+13,3.536835e+12,7.978025e-01,1.144269e+25,4.269826e+25,6.080398e+01,3.574021e+01,3.455811e+00
22,300,300,35,75,25,35,30,2.015137e+13,3.460056e+12,7.324787e-01,1.112626e+25,4.511422e+25,5.710858e+01,3.941738e+01,3.474042e+00
23,300,300,35,75,25,55,30,1.964079e+13,3.372388e+12,6.613199e-01,1.067823e+25,4.742363e+25,5.319462e+01,4.330812e+01,3.497255e+00
24,300,300,35,75,25,75,30,1.909616e+13,3.278873e+12,5.891577e-01,1.016181e+25,4.951297e+25,4.922516e+01,4.725399e+01,3.520854e+00
25,300,300,35,75,45,15,30,2.507657e+13,4.305730e+12,7.972746e-01,1.394000e+25,5.193308e+25,6.084583e+01,3.569954e+01,3.454639e+00
